Email,Site
Data.privacy.restaurants@accor.com,https://restaurantsandbars.accor.com/en/restaurant/1596_R001
h1596-fb@accor.com,https://restaurantsandbars.accor.com/en/restaurant/1596_R001
Data.privacy.restaurants@accor.com.For,https://restaurantsandbars.accor.com/en/restaurant/1596_R001
name@mail.com,https://restaurantsandbars.accor.com/en/restaurant/1596_R001
info@visitpoitiers.fr,https://visitpoitiers.fr/en/tops-must-haves/restaurants-enfants-grand-poitiers-2/
name@domain.com,https://all.accor.com/hotel/0659/index.en.shtml
H0659@accor.com,https://all.accor.com/hotel/0659/index.en.shtml
business@lefooding.com,https://lefooding.com/en/search/restaurant/place/poitiers-15257
lucie@lefooding.com,https://lefooding.com/en/search/restaurant/place/poitiers-15257
HF465@theoriginalshotels.com,https://www.theoriginalshotels.com/en/hotels/chateau-de-perigny
restaurant@lesarchives.fr,https://www.lesarchives.fr/
alexandrapalace@lamaisonyounan.com,https://www.hotelalexandrapalace.com/en/
reception.alexandrapalace@lamaisonyounan.com,https://www.hotelalexandrapalace.com/en/
commercial.alexandrapalace@lamaisonyounan.com,https://www.hotelalexandrapalace.com/en/
alexandrapalace@younancollection.com,https://www.hotelalexandrapalace.com/en/
brasserieljv@gmail.com?Subject=Maquette%20again,https://lajavette.fr/
 info@18moliere.fr,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
giteduchaix@hotmail.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
ribaudiere@ribaudiere.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
reservations@lepigeonnierduperron.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
villadelalunoterie@gmail.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
bb_4321@hotelbb.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
martinelapocterie@orange.fr,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
Laroyaute86@gmail.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
petite.aubue@gmail.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
lespritduclain@orange.fr,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
contact@chateaudedissay.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
contact@lescharmesdulac.fr,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
info@LePireau.fr,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
contact@campinglacdesaintcyr.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
sebast29a@icloud.com,https://www.golfduhautpoitou.fr/en/useful-informations/restaurant/
